ReferenceGenome,SRA_Data
GCF_000012205.1_ASM1220v1_genomic.gbff.gz,DRR000467
GCF_000012225.1_ASM1222v1_genomic.gbff.gz,SRR543402
GCF_000012245.1_ASM1224v1_genomic.gbff.gz,SRR10743066
GCF_000012265.1_ASM1226v1_genomic.gbff.gz,SRR647664
GCF_000012305.1_ASM1230v1_genomic.gbff.gz,SRR647492
GCF_000012325.1_ASM1232v1_genomic.gbff.gz,SRR647666
GCF_000012345.1_ASM1234v1_genomic.gbff.gz,SRR572717
GCF_000012365.1_ASM1236v1_genomic.gbff.gz,SRR3176637
GCF_000012385.1_ASM1238v1_genomic.gbff.gz,SRR2917943
GCF_000012445.1_ASM1244v1_genomic.gbff.gz,DRR001004
GCF_000012465.1_ASM1246v1_genomic.gbff.gz,SRR3927484
GCF_000012485.1_ASM1248v1_genomic.gbff.gz,SRR557815
GCF_000012505.1_ASM1250v1_genomic.gbff.gz,SRR610369
GCF_000012525.1_ASM1252v1_genomic.gbff.gz,SRR610377
GCF_000012565.1_ASM1256v1_genomic.gbff.gz,SRR3926814
GCF_000012625.1_ASM1262v1_genomic.gbff.gz,SRR3926854
GCF_000012645.1_ASM1264v1_genomic.gbff.gz,SRR3927185
GCF_000012665.1_ASM1266v1_genomic.gbff.gz,SRR3926589
GCF_000012685.1_ASM1268v1_genomic.gbff.gz,SRR3926536
GCF_000012705.1_ASM1270v1_genomic.gbff.gz,SRR3926539
GCF_000012725.1_ASM1272v1_genomic.gbff.gz,SRR3926807
GCF_000012745.1_ASM1274v1_genomic.gbff.gz,SRR3926801
GCF_000012765.1_ASM1276v1_genomic.gbff.gz,SRR3926582
GCF_000012785.1_ASM1278v1_genomic.gbff.gz,SRR3926855
GCF_000012805.1_ASM1280v1_genomic.gbff.gz,SRR3926584
GCF_000012825.1_ASM1282v1_genomic.gbff.gz,SRR3926586
GCF_000012845.1_ASM1284v1_genomic.gbff.gz,SRR3926537
GCF_000012865.1_ASM1286v1_genomic.gbff.gz,SRR3926591
GCF_000012885.1_ASM1288v1_genomic.gbff.gz,SRR3926722
GCF_000012925.1_ASM1292v1_genomic.gbff.gz,ERR042039
GCF_000012945.1_ASM1294v1_genomic.gbff.gz,SRR190846
GCF_000012965.1_ASM1296v1_genomic.gbff.gz,SRR3926868
GCF_000012985.1_ASM1298v1_genomic.gbff.gz,SRR578718
GCF_000013005.1_ASM1300v1_genomic.gbff.gz,SRR3711506
GCF_000013025.1_ASM1302v1_genomic.gbff.gz,SRR3926812
GCF_000013045.1_ASM1304v1_genomic.gbff.gz,SRR22388521
GCF_000013065.1_ASM1306v1_genomic.gbff.gz,SRR2544673
GCF_000013085.1_ASM1308v1_genomic.gbff.gz,SRR2064152
GCF_000013125.1_ASM1312v1_genomic.gbff.gz,SRR1029665
GCF_000013145.1_ASM1314v1_genomic.gbff.gz,SRR3922602
GCF_000013165.1_ASM1316v1_genomic.gbff.gz,SRR8177059
GCF_000013185.1_ASM1318v1_genomic.gbff.gz,SRR849063
GCF_000013205.1_ASM1320v1_genomic.gbff.gz,SRR3922604
GCF_000013225.1_ASM1322v1_genomic.gbff.gz,SRR769329
GCF_000013245.1_ASM1324v1_genomic.gbff.gz,SRR769344
GCF_000013265.1_ASM1326v1_genomic.gbff.gz,SRR931757
GCF_000013285.1_ASM1328v1_genomic.gbff.gz,SRR1609233
GCF_000013305.1_ASM1330v1_genomic.gbff.gz,SRR765117
GCF_000013325.1_ASM1332v1_genomic.gbff.gz,SRR543752
GCF_000013345.1_ASM1334v1_genomic.gbff.gz,SRR849554
GCF_000013365.1_ASM1336v1_genomic.gbff.gz,SRR2062529
GCF_000013385.1_ASM1338v1_genomic.gbff.gz,SRR849600
GCF_000013405.1_ASM1340v1_genomic.gbff.gz,SRR849542
GCF_000013425.1_ASM1342v1_genomic.gbff.gz,SRR849533
GCF_000013465.1_ASM1346v1_genomic.gbff.gz,SRR1029666
GCF_000013485.1_ASM1348v1_genomic.gbff.gz,SRR9043693
GCF_000013505.1_ASM1350v1_genomic.gbff.gz,SRR1029664
GCF_000013525.1_ASM1352v1_genomic.gbff.gz,SRR3927460
GCF_000013545.1_ASM1354v1_genomic.gbff.gz,SRR2544674
GCF_000013565.1_ASM1356v1_genomic.gbff.gz,SRR1609230
GCF_000013585.1_ASM1358v1_genomic.gbff.gz,SRR941212
GCF_000013605.1_ASM1360v1_genomic.gbff.gz,SRR942709
GCF_000013625.1_ASM1362v1_genomic.gbff.gz,SRR3929480
GCF_000013645.1_ASM1364v1_genomic.gbff.gz,SRR2904399
GCF_000013665.1_ASM1366v1_genomic.gbff.gz,SRR8412066
GCF_000013685.1_ASM1368v1_genomic.gbff.gz,SRR12282613
GCF_000013705.1_ASM1370v1_genomic.gbff.gz,SRR647074
GCF_000013765.1_ASM1376v1_genomic.gbff.gz,SRR2533563
GCF_000013785.1_ASM1378v1_genomic.gbff.gz,SRR6109524
GCF_000013805.1_ASM1380v1_genomic.gbff.gz,SRR6109488
GCF_000013825.1_ASM1382v1_genomic.gbff.gz,SRR6109522
GCF_000013845.2_ASM1384v2_genomic.gbff.gz,SRR15095814
GCF_000013865.1_ASM1386v1_genomic.gbff.gz,SRR18942394
GCF_000013885.1_ASM1388v1_genomic.gbff.gz,SRR6109489
GCF_000013905.1_ASM1390v1_genomic.gbff.gz,SRR497751
