RefSeq_ID,SRA_ID,Run_accession_ID,Assembly_ID
GCF_000015885.1,NA,NA,ASM1588v1
GCF_000015905.1,NA,NA,ASM1590v1
GCF_000015925.1,NA,NA,ASM1592v1
GCF_000015965.1,NA,NA,ASM1596v1
GCF_000016045.1,NA,NA,ASM1604v1
GCF_000016065.1,SRS211732,NA,ASM1606v1
GCF_000016105.1,NA,NA,ASM1610v1
GCF_000016145.1,NA,NA,ASM1614v1
GCF_000016165.1,NA,NA,ASM1616v1
GCF_000016185.1,NA,NA,ASM1618v1
GCF_000016205.1,NA,NA,ASM1620v1
GCF_000016245.1,NA,NA,ASM1624v1
GCF_000016265.1,NA,NA,ASM1626v1
GCF_000016285.1,NA,NA,ASM1628v1
GCF_000016305.1,NA,NA,ASM1630v1
GCF_000016325.1,NA,NA,ASM1632v1
GCF_000016345.1,NA,NA,ASM1634v1
GCF_000016425.1,NA,NA,ASM1642v1
GCF_000016445.1,NA,NA,ASM1644v1
GCF_000016465.1,NA,NA,ASM1646v1
GCF_000016485.1,SRS4002935,NA,ASM1648v1
GCF_000016505.1,NA,NA,ASM1650v1
GCF_000016545.1,SRS211701,NA,ASM1654v1
GCF_000016625.1,NA,NA,ASM1662v1
GCF_000016645.1,NA,NA,ASM1664v1
GCF_000016665.1,NA,NA,ASM1666v1
GCF_000016685.1,NA,NA,ASM1668v1
GCF_000016725.1,NA,NA,ASM1672v1
GCF_000016745.1,NA,NA,ASM1674v1
GCF_000016765.1,NA,NA,ASM1676v1
GCF_000016785.1,NA,NA,ASM1678v1
GCF_000016805.1,NA,NA,ASM1680v1
GCF_000016825.1,NA,NA,ASM1682v1
GCF_000016845.1,NA,NA,ASM1684v1
GCF_000016905.1,SRS211736,NA,ASM1690v1
GCF_000016925.1,SRS005124,NA,ASM1692v1
GCF_000016945.1,NA,NA,ASM1694v1
GCF_000016965.1,NA,NA,ASM1696v1
GCF_000016985.1,NA,NA,ASM1698v1
GCF_000017005.1,NA,NA,ASM1700v1
GCF_000017025.1,NA,NA,ASM1702v1
GCF_000017045.1,NA,NA,ASM1704v1
GCF_000017065.1,NA,NA,ASM1706v1
GCF_000017085.1,SRS183170,NA,ASM1708v1
GCF_000017105.1,NA,NA,ASM1710v1
GCF_000017145.1,NA,NA,ASM1714v1
GCF_000017205.1,NA,NA,ASM1720v1
GCF_000017245.1,SRS1564930,NA,ASM1724v1
GCF_000017265.1,NA,NA,ASM1726v1
GCF_000017305.1,NA,NA,ASM1730v1
GCF_000017325.1,NA,NA,ASM1732v1
GCF_000017405.1,NA,NA,ASM1740v1
GCF_000017425.1,NA,NA,ASM1742v1
GCF_000017445.4,NA,NA,ASM1744v3
GCF_000017465.2,NA,NA,ASM1746v2
GCF_000017485.1,NA,NA,ASM1748v1
GCF_000017505.1,NA,NA,ASM1750v1
GCF_000017525.1,NA,NA,ASM1752v1
GCF_000017545.1,SRS211711,NA,ASM1754v1
GCF_000017565.1,SRS211723,NA,ASM1756v1
GCF_000017585.1,NA,NA,ASM1758v1
GCF_000017605.1,NA,NA,ASM1760v1
GCF_000017645.1,NA,NA,ASM1764v1
GCF_000017665.1,SRS3465741,SRR7439201,ASM1766v1
GCF_000017685.1,NA,NA,ASM1768v1
